"","X","Species","Group","Mass","BasalFGC","ElevFGC","Method","AssayType","Stressor","FecesMass","Stage","MaxLifespan","MSMR","Temp","n","Sex","MassSource","MassEffects","TimeToSample","ReproductivePeriod","Captive","Location","Notes","Family","Order","Hormone"
"58",14,"Choeropsis liberiensis","",215000,6.3,19.2,"EIA","2","ACTH","wet","adult",42.3,NA,NA,4,"MF","AnAge",NA,"0-72hr","","Captive","North America","Table 1","Hippopotamidae","Artiodactyla","Cortisol"
"59",15,"Crocuta crocuta","",63000,43.75,744.95,"EIA","2","ACTH","wet","adult",41.1,NA,NA,2,"MF","AnAge",NA,"24hr","","Captive","Czech Republic","","Hyaenidae","Carnivora","Cortisol"
"60",16,"Diceros bicornis","",1100000,3,30.1,"HPLC","HPLC","Restraint & relocation","dry","adult",57,NA,NA,5,"MF","AnAge",NA,"0-24hr","","Captive","USA","Table 3","Rhinocerotidae","Perissodactyla","Cortisol"
"61",17,"Elephas maximus","",3178000,17.1,NA,"EIA","19","","dry","adult",79.6,0.636,35.8,26,"M","AnAge",NA,"","Misc. (Some in Musth)","Captive","USA","Captive only","Elephantidae","Proboscidea","Cortisol"
"62",18,"Felis catus","",3900,463.05,1871,"EIA","9","ACTH","dry","adult",30,2.47,38.1,2,"MF","AnAge",NA,"0-5d","","Captive","Virginia, USA","Table 1","Felidae","Carnivora","Cortisol"
"63",19,"Giraffa camelopardalis","",8e+05,23.725,49.3,"EIA","9","ACTH","dry","adult",39.5,0.874,37.1,2,"M","AnAge",NA,"13.5hr","","Captive","Misc.","Appendix 1","Giraffidae","Artiodactyla","Cortisol"
"64",20,"Gorilla gorilla gorilla","",139842,20,40,"EIA","2","Anesthesia, relocation, social interaction, and male introduction","wet","",60.1,NA,NA,6,"MF","AnAge",NA,"44hr","","Captive","UK","Prioritized EIA, Table 1","Hominidae","Primates","Cortisol"
"65",21,"Hylobates pileatus","",5735,35.5,188.5,"EIA","2","ACTH","dry","adult",38,NA,NA,2,"MF","AnAge",NA,"26hr","","Captive","Misc.","Table 2","Hylobatidae","Primates","Cortisol"
"66",22,"Lepus americanus","",1600,1054,11130,"EIA","1","ACTH","dry","adult",NA,4.184,39.8,7,"MF","AnAge",NA,"10hr","","Captive","Yukon, Canada","","Leporidae","Lagomorpha","Cortisol"
"67",23,"Loxodonta africana","",4800000,69.7,NA,"EIA","","","wet","adult",65,NA,NA,41,"F","AnAge",NA,"","","Wild","Tanzania","Limited to adult females to avoid juveniles","Elephantidae","Proboscidea","Cortisol"
"68",24,"Macaca tonkeana","",11950,51.505,80.245,"EIA","13","Relocation","dry","adult and juveniles",28.4,NA,NA,15,"MF","AnAge",NA,"1-2d","","Captive","France to Italy","Table 2","Cercopithecidae","Primates","Cortisol"
"69",25,"Mazama gouazoubira","",17000,181.5,770.5,"EIA","4","ACTH","wet","adult and juveniles",14.8,NA,NA,2,"MF","AnAge",NA,"25hr","","Captive","São Paulo, Brazil","","Cervidae","Artiodactyla","Cortisol"
"70",26,"Melursus ursinus","",1e+05,48.7,1428.8,"EIA","9","Infection, male introduction, breeding","dry","adult",33.3,0.703,NA,1,"F","AnAge",NA,"","","Captive","Alaska, USA","Table 2","Ursidae","Carnivora","Cortisol"
"71",27,"Mesocricetus auratus","",105,204.5,1040,"EIA","4","ACTH","dry","adult",3.9,6.377,38.1,20,"MF","AnAge",NA,"24hr","","Captive","São Paulo, Brazil","Baseline x percent increase ","Cricetidae","Rodentia","Cortisol"
"72",28,"Microcebus murinus","",64.8,420,1940,"EIA","2","Capture","wet","",18.2,NA,NA,5,"MF","AnAge",NA,"1-5d","","Wild","Madagascar","Table 2","Cheirogaleidae","Primates","Cortisol"
"73",29,"Moschus berezovskii","",12000,41.726,86.105,"EIA","16","Capture, restraint, and extraction of musk","wet","adult",20,NA,NA,7,"M","AnAge",NA,"1-28d","","Captive","Shaanxi, China","Table 1, CRE group, only increase animals","Moschidae","Artiodactyla","Cortisol"
"74",30,"Mungos mungo","",1332,58.4,104.2,"EIA","9","ACTH","dry","adult",17.4,NA,NA,3,"MF","AnAge",NA,"24hr","","Captive","Botswana","","Herpestidae","Carnivora","Cortisol"
"75",31,"Mustela nigripes","",1021,220.2,548.6,"EIA","9","ACTH","dry","adult",9.4,NA,NA,1,"F","AnAge",NA,"","","Captive","Ontario, Canada","Table 1","Mustelidae","Carnivora","Cortisol"
"76",32,"Neofelis nebulosa","",19500,194.3,783.46,"EIA","9","ACTH","dry","adult",19.8,NA,NA,3,"MF","AnAge",NA,"","","Captive","Virginia, USA","Table 1","Felidae","Carnivora","Cortisol"
"77",33,"Octodon degus","",235,139,272,"RIA","14","ACTH","dry","adult",14,4.8,37.6,6,"MF","AnAge",NA,"6hr","","Captive","Santiago, Chile","Figure 4","Octodontidae","Rodentia","Cortisol"
"78",34,"Otolemur garnettii","Yes",1300,25.683,209.113,"RIA","14","Relocation","wet","adult",20,2.989,NA,15,"MF","AnAge",NA,"0-24hr","","Captive","Mississippi, USA","Figure 1","Galagidae","Primates","Cortisol"
"79",35,"Ovibos moschatus","",315000,64.122,110.875,"EIA","9","ACTH","wet","adult and subadult",27.4,NA,37.7,NA,"MF","AnAge",NA,"7-55hr","","Captive","Alaska, USA","supplementary data sheet 3","Bovidae","Artiodactyla","Cortisol"
"80",36,"Pan troglodytes","",44984,9.9,14.9,"EIA","9","ACTH","wet","adult",68,1.5,NA,1,"M","AnAge",NA,"29hr","","Captive","Georgia, USA","Figure 1","Hominidae","Primates","Cortisol"
"81",37,"Panthera leo bleyenberghi","",175000,15.4489,24.7638,"EIA","15","Death of dominant male","dry","adult",28,0.965,37.9,5,"MF","AnAge",NA,"","","Captive","Barcelona, Spain","Table 2","Felidae","Carnivora","Cortisol"
"82",38,"Panthera onca","",81150,307.8,820.9,"RIA","14","Chemical restraint and electroejaculation","dry","adult",28,1.238,37,3,"M","AnAge",NA,"","","Captive","Brazil","","Felidae","Carnivora","Cortisol"
"83",39,"Panthera tigris","",119700,96.74,NA,"EIA","9","","dry","adult",26.3,0.971,37.5,22,"MF","AnAge",NA,"","Misc.","Captive","Australia","Averaged mean FGC from text","Felidae","Carnivora","Cortisol"
"84",40,"Papio ursinus","Yes",18000,63.3,NA,"RIA","14","","dry","adult",37.5,1.665,NA,10,"F","AnAge",NA,"","Cycling","Wild","South Africa","Table 1","Cercopithecidae","Primates","Cortisol"
"85",41,"Pecari tajacu","",23000,35.9,96.3,"EIA","9","ACTH","dry","adult",31.5,1.618,37.5,6,"M","Source",NA,"24hr","","Captive","Bahia, Brazil","Figure 2","Tayassuidae","Artiodactyla","Cortisol"
"86",42,"Propithecus verreauxi","",5000,21,37,"EIA","7","ACTH","wet","adult",31,1.116,36,4,"MF","AnAge",NA,"","Breeding","Wild","Madagascar","Table 2","Indriidae","Primates","Cortisol"
"87",43,"Rattus rattus","",153,3210,4410,"EIA","11","ACTH","wet","adult",4.2,6.581,38,13,"M","Source",NA,"6-8hr","","Wild","Czech Republic","","Muridae","Rodentia","Cortisol"
"88",44,"Rhinoceros unicornis","",1602330,9.66,35.28,"EIA","9","ACTH","dry","adult",43.5,NA,37.4,1,"M","AnAge",NA,"22hr","","Captive","","","Rhinocerotidae","Perissodactyla","Cortisol"
"89",45,"Sturnira hondurensis","",17.25,3145.27,NA,"EIA","22","","wet","",NA,NA,NA,5,"MF","Other",NA,"","","Wild","Oaxaca, Mexico","Table 2","Phyllostomidae","Chiroptera","Cortisol"
"90",46,"Sturnira parvidens","",15.3,206.15,NA,"EIA","22","","wet","",NA,NA,NA,4,"MF","Other",NA,"","","Wild","Oaxaca, Mexico","Table 2","Phyllostomidae","Chiroptera","Cortisol"
"91",47,"Suricata suricatta","",776,139.85,500.5,"EIA","9","ACTH","dry","adult",20.6,2.034,36.3,2,"M","AnAge",NA,"","","Captive","Missouri, USA","Table 1","Herpestidae","Carnivora","Cortisol"
"92",48,"Tolypeutes matacus","",2127.3,642.1,1379.3,"EIA","9","ACTH","dry","adult",36.8,1.01,33,2,"MF","Source",NA,"30-94hr","","Captive","Illinois, USA","","Chlamyphoridae","Cingulata","Cortisol"
"93",49,"Urocitellus columbianus","",630,263.03,672.05,"EIA","11","Capture","dry","adult",NA,NA,NA,10,"MF","Source",NA,"","","Wild","Alberta, Canada","Baseline x percent increase ","Sciuridae","Rodentia","Cortisol"
"94",50,"Ursus thibetanus","",103750,107.9,432.6,"EIA","9","ACTH","dry","adult",39.2,NA,37.5,1,"F","AnAge",NA,"","","Captive","Quebec, Canada","Table 1","Ursidae","Carnivora","Cortisol"
"95",51,"Vulpes lagopus","",7600,695,2414,"EIA","11","ACTH","dry","adult and juveniles",16.3,2.129,38.6,15,"MF","Source",NA,"9.3hr","","Captive","Trondheim, Norway","","Canidae","Carnivora","Cortisol"
"96",52,"Vulpes vulpes","",7263,475,2143,"EIA","11","ACTH","dry","adult and juveniles",21.3,2.998,38.7,30,"MF","Source",NA,"9.8hr","","Captive","Norway","","Canidae","Carnivora","Cortisol"
