Species,Mean_lifespan
Ate/es goeffroyi,25.1
Saimiri sciureus,11.3
Cercopithecus neglectus,15.2
Cercopithecus diana,14.4
Erythrocebus patas,15.1
Ate/es fusciceps robustus,-
Cercopithecus ascanius schmidti,16
Alouatta caraya,17.1
Varanus salvadorii,9.3
Alces alces,-
Momotus momota,7
Peromyscus polionotus trissyl/epsis,3.4
Muntiacus reevesi,10.2
Uria aalge,-
Leucopsar rothschildi,10.5
Ampeliceps coronatus,6
Trage/aphus angasii,-
Leopardus pardalis,15.6
Okapia johnstoni,17
Pongo pygmaeus,-
Pongo abelii,-
Psarocolius decumanus,7.1
Oryx gazelle callotis,-
Oryxdammah,-
Struthio came/us,10.6
Aonyx cinereus,-
Pferonura brasiliensis,Data deficient
Lontra canadensis,12.9
Enhydra Jutris kenyoni & E. I. nereis,14.5
Lutra maculicollis,Data deficient
Athene cunicularia,7.5
Bubo buo,Data deficient
Nyctea scandiaca,9.1
Pulsatrix perspicillata,-
Ailurus fu/gens fu/gens,10
Ailurus fulgens refulgens (styani),12
Deroptyus accipitrinus,-
Rhynchopsitta pachyrhyncha,13.2
Rollulus rou/ou/,4.9
Afropavo congensis,-
Catagonus wagneri,Data deficient
Pelecanus crispus,Data deficient
Pelicanus onocrotalus,10.4
Pelecanus rufescens,13.1
Pygoscelis adeliae,17.9
Speniscus demersus,17.8
Pygoscelis antarctica,Data deficient
Pygoscelis papua el/sworthi,29.2
Pygoscelis papua papua,-
Spheniscus humboldti,17.8
Aptenodytes patagonicus,26.1
Eudyptula minor,8.9
Eudyptes chryso/ophus,26.3
Eudyptes chrysocome,-
Eudyptes chrysocome chrysocome,-
Lophura edwardsi,Data deficient
Polyplectron napoleonis,-
Sus cebifrons,Data deficient
Otidiphaps nobilis,9.9
Caloenas nicobarica,-
Goura victoria,11.1
Goura cristata,7.7
Pitta sordida,3.2
Aythya baeri,8.5
Hystrix africaeaustralis,14.5
Erethizon dorsatum,7.1
Coendou prehensilis,10.9
Antilocapra americana peninsularis,Data deficient
Pudu puda,7.7
Fratercula arctica,14.3
Fratercu/a corniculata,Data deficient
Fratercula cirrhata,13.9
Puma conco/or,-
Python reticulatus,11
Dasyurus maculatus,5
Gal/irallus owstoni,-
Crotalus durissus unicolor,-
Sistrurus catenatus catenatus,9.4
Crotalus polystictus,7.9
Crotalus catalinensis,Data deficient
Aetobatus narinari,8.7
